college_name,state,city,college_type,quota,category,opening_rank,closing_rank,annual_fee,year,mbbs_seats,nmc_ranking,course_type,bond_years,bond_penalty
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,GEN,1,51,1628,2025,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,OBC,56,178,1628,2025,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,SC,183,510,1628,2025,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,ST,515,1122,1628,2025,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,EWS,61,204,1628,2025,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,GEN-PH,51,765,1628,2025,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,OBC-PH,255,1275,1628,2025,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,SC-PH,510,2040,1628,2025,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,ST-PH,765,2550,1628,2025,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,GEN,1,50,1628,2024,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,OBC,55,175,1628,2024,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,SC,180,500,1628,2024,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,ST,505,1100,1628,2024,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,EWS,60,200,1628,2024,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,GEN-PH,50,750,1628,2024,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,OBC-PH,250,1250,1628,2024,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,SC-PH,500,2000,1628,2024,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,ST-PH,750,2500,1628,2024,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,GEN,1,47,1628,2023,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,OBC,52,166,1628,2023,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,SC,171,475,1628,2023,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,ST,479,1045,1628,2023,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,EWS,57,190,1628,2023,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,GEN-PH,47,712,1628,2023,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,OBC-PH,237,1187,1628,2023,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,SC-PH,475,1900,1628,2023,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,ST-PH,712,2375,1628,2023,107,1
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,GEN,1,45,1628,2022,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,OBC,49,157,1628,2022,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,SC,162,450,1628,2022,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,ST,454,990,1628,2022,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,EWS,54,180,1628,2022,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,GEN,1,44,1628,2021,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,OBC,48,154,1628,2021,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,SC,158,440,1628,2021,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,ST,444,968,1628,2021,107,1,MBBS,0,0
AIIMS New Delhi,Delhi,New Delhi,CENTRAL,AIQ,EWS,52,176,1628,2021,107,1,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,GEN,18,1836,1628,2025,200,15,MBBS,0,0
AIIMS Jodhpur,Rajasthan,Jodhpur,CENTRAL,AIQ,OBC,2019,6426,1628,2025,200,15,MBBS,0,0
